time,client,port,method,protocol,url,agent
2024-05-03 14:31:11,172.18.0.1,50462,GET,HTTP/1.1,/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
2024-05-03 14:31:12,172.18.0.1,50462,GET,HTTP/1.1,/beispiel-seite/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
2024-05-03 14:31:36,172.18.0.1,44386,GET,HTTP/1.1,/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
2024-05-03 14:33:22,172.18.0.1,42826,GET,HTTP/1.1,/2024/04/23/hallo-welt/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
2024-05-03 14:33:38,172.18.0.1,38532,GET,HTTP/1.1,/2024/04/23/hallo-welt/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
2024-05-03 14:34:04,172.18.0.1,47962,POST,HTTP/1.1,/wp-comments-post.php,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
2024-05-03 14:34:05,172.18.0.1,47962,GET,HTTP/1.1,/2024/04/23/hallo-welt/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
2024-05-03 14:34:17,172.18.0.1,35336,GET,HTTP/1.1,/author/linus4444/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
2024-05-03 14:34:19,172.18.0.1,35336,GET,HTTP/1.1,/category/allgemein/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
2024-05-03 14:34:37,172.18.0.1,40276,GET,HTTP/1.1,/author/linus4444/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
2024-05-03 14:34:40,172.18.0.1,40276,GET,HTTP/1.1,/2024/04/23/hallo-welt/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
2024-05-03 14:35:02,172.18.0.1,60630,POST,HTTP/1.1,/wp-comments-post.php,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
2024-05-03 14:35:03,172.18.0.1,60630,GET,HTTP/1.1,/2024/04/23/hallo-welt/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
2024-05-03 14:35:12,172.18.0.1,38140,GET,HTTP/1.1,/author/linus4444/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
2024-05-03 14:35:29,172.18.0.1,39190,GET,HTTP/1.1,/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
2024-05-03 14:35:30,172.18.0.1,39190,GET,HTTP/1.1,/beispiel-seite/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
2024-05-03 14:35:38,172.18.0.1,39198,GET,HTTP/1.1,/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
2024-05-03 14:35:49,172.18.0.1,60842,GET,HTTP/1.1,/beispiel-seite/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
2024-05-03 14:35:52,172.18.0.1,60842,GET,HTTP/1.1,/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
